,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,平均趋向指数,平均趋向指数的趋向指数,阿隆指标down,阿隆指标up,顺势指标,钱德动量摆动指标,动向指标或趋向指标,资金流量指标,下升动向值,上升动向值 DMI,上升动向值,价格震荡百分比指数,变动率指标,相对强弱指数,终极波动指标,威廉指标,累积/派发线,震荡指标,能量潮,真实波动幅度均值,归一化波动幅度均值,真正的范围,加权收盘价,希尔伯特变换-主导周期,两只乌鸦,三只乌鸦,三内部上涨和下跌,三线打击,三外部上涨和下跌,南方三星,三个白兵,弃婴,大敌当前,捉腰带线,脱离,收盘缺影线,藏婴吞没,反击线,乌云压顶,十字,十字星,蜻蜓十字/T形十字,吞噬模式,十字暮星,暮星,向上/下跳空并列阳线,墓碑十字/倒T十字,锤头,上吊线,母子线,十字孕线,风高浪大线,陷阱,修正陷阱,家鸽,三胞胎乌鸦,颈内线,倒锤头,反冲形态,由较长缺影线决定的反冲形态,梯底,长脚十字,长蜡烛,光头光脚/缺影线,相同低价,铺垫,十字晨星,晨星,颈上线,刺透形态,黄包车夫,上升/下降三法,分离线,射击之星,短蜡烛,纺锤,停顿形态,条形三明治,探水竿,跳空并列阴阳线,插入,三星,奇特三河床,向上跳空的两只乌鸦,上升/下降跳空三法,elapsed,aroon_up_dates,aloon_shift-1,days_in_position
1628,600833.SH,20150707,13.75,13.98,13.58,13.58,15.09,-1.51,-10.01,44202.0,60217.156,39.587326016247054,37.139790920071015,100.0,42.0,-153.69074850149434,-53.94920641549168,60.60460476033708,15.419727596203185,47.8193576719617,16.761213461835055,-16.020000000000003,-21.198153478218572,-54.12162162162162,23.025396792254163,23.37001113549276,-100.0,10548278.19829651,-168842.51489656232,14177498.279999984,2.503650386107548,18.43630623054159,1.5099999999999998,13.68,22.79423541112463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,40.0,
1627,600833.SH,20150708,12.22,12.22,12.22,12.22,13.58,-1.36,-10.01,6109.0,7465.198,41.27306648532585,37.35295203951748,100.0,40.0,-145.50090627016073,-56.75785029974798,63.18769258335018,16.974352146360534,49.91228011410704,16.923983928846837,-17.799999999999997,-22.56106605421185,-59.29380413057961,21.62107485012601,23.121677088277696,-100.0,10548278.19829651,-159359.24977083318,14171389.279999984,2.421961072814152,19.819648713700094,1.3599999999999994,12.22,24.129191307329933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,38.0,
1626,600833.SH,20150709,11.0,13.44,11.0,13.44,12.22,1.22,9.98,153873.44,188897.464,42.99503267521386,38.062079700685054,100.0,38.0,-114.05953436912836,-48.03554713742467,65.38059314375798,26.432197885377644,49.91858913121129,16.93512793392921,-14.12,-24.52751048605973,-51.23367198838898,25.98222643128767,23.27848147998168,-86.43690939410784,10702151.63829651,-92032.79678568617,14325262.719999984,2.4232495676131407,18.030130711407296,2.4399999999999995,12.829999999999998,25.53849967750564,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,
1625,600833.SH,20150710,14.08,14.78,13.8,14.78,13.44,1.34,9.97,76810.47,112159.038,43.81642900773884,38.509922438275055,98.0,36.0,-75.60689115113543,-38.89409259114167,54.49458133056358,32.45090003988647,47.88185532386364,15.725475938648552,-10.02,-26.686867456426207,-40.403225806451616,30.552953704429164,31.20259008406584,-78.98832684824903,10778962.10829651,-31683.844038518146,14402073.189999985,2.345874598497917,15.871952628538002,1.34,14.535,26.839228718131466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,34.0,
1624,600833.SH,20150713,16.2,16.26,15.51,16.26,14.78,1.48,10.01,102621.45,165261.649,43.77789304487535,38.07199229940609,96.0,34.0,-46.914743750214704,-29.39038844558277,43.276925527649965,33.21404315809897,45.66568299517756,14.602227657316512,-10.869999999999996,-28.677318784099796,-40.06634721710283,35.30480577720862,37.14149797408742,-70.76153418565869,10881583.55829651,28536.99290700816,14504694.639999984,2.284026412890923,14.04690290830826,1.4800000000000022,16.0725,28.641499064421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,32.0,
1623,600833.SH,20150714,17.0,17.89,16.5,17.89,16.26,1.63,10.02,193130.02,338393.703,42.93064388612064,37.332645942196415,94.0,32.0,-17.944163438386354,-19.677834832306736,31.916404822309485,37.69388551694189,43.2892623548503,13.55921139607962,-9.97,-29.327314201853618,-35.78607322325915,40.16108258384663,45.64185112014741,-61.22678671918964,11074713.578296509,112028.9786659032,14697824.659999983,2.2373102405415715,12.505926442378822,1.629999999999999,17.5425,30.423951618618524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,
1622,600833.SH,20150715,17.28,17.5,16.1,16.1,17.89,-1.79,-10.01,99482.48,163842.201,42.24372551672512,36.98202463765152,92.0,30.0,-23.469345570300533,-26.226903374376683,33.31378671458328,37.97719768799533,42.07508456074292,12.990696296359646,-11.209999999999996,-29.39994964918622,-41.047235444891975,36.886548312811655,48.806197494487606,-67.72151898734177,10975231.098296508,104346.82205218822,14598342.179999985,2.205359509074316,13.697885149529911,1.7899999999999991,16.450000000000003,31.31205039714489,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,
1621,600833.SH,20150716,14.51,16.99,14.51,16.06,16.1,-0.04,-0.25,98535.28,156954.696,41.990578955891145,37.15198735576714,90.0,28.0,-29.72451930394199,-26.37137496787959,38.69967366504952,37.47712657024699,43.82963874836162,13.652789418048243,-8.52,-29.913692637694904,-34.66232709519935,36.814312516060205,54.79116114198661,-66.26666666666668,10999864.918296508,99556.0805236511,14499806.899999984,2.224976686997579,13.85415122663499,2.479999999999998,15.905,31.196327183950217,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,26.0,
1620,600833.SH,20150717,15.8,17.45,15.8,17.28,16.01,1.27,7.93,98785.36,167862.418,41.51233816072592,37.41765562671453,88.0,26.0,8.1901198554125,-18.734000696553636,35.29520782357805,44.92230785799457,41.46431999808657,12.677590173901942,-4.84,-29.27426072469807,-21.88065099457505,40.63299965172318,62.70176495732615,-49.99999999999999,11078294.507144991,113500.54812070727,14598592.259999985,2.183906923640609,12.63835025254982,1.6499999999999986,16.9525,30.714039985053503,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,24.0,
1619,600833.SH,20150720,17.41,18.58,17.1,18.1,17.28,0.82,4.75,129744.93,230844.268,40.47899314330674,37.26275195213596,86.0,24.0,59.05153931909783,-13.757609366012051,27.04550791685737,53.71942576094525,39.4098984852269,11.772048018623233,-4.899999999999999,-27.267222659698888,-21.30434782608696,43.12119531699397,58.01618496203084,-43.47133757961782,11123880.56363148,123391.52573604882,14728337.189999985,2.1336278576662795,11.787999213625852,1.4799999999999969,17.97,30.641032499267965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,22.0,
